sanskrit,hindi
Sarga Chapter- 1,Sarga Chapter- 1
॥ श्रीसीतारामचन्द्राभ्यां नमः ।। बालकाण्डम् प्रथमः सर्गः (सर्ग 1),( नारदजी का वाल्मीकि मुनि को संक्षेपसे श्रीरामचरित्र सुनाना )
ॐ तपःस्वाध्यायनिरतं तपस्वी वाग्विदां वरम्। नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुंगवम्॥१॥,तपस्वी वाल्मीकिजी ने तपस्या और स्वाध्याय में लगे हुए विद्वानों में श्रेष्ठ मुनिवर नारदजी से पूछा-॥ १॥
को न्वस्मिन् साम्प्रतं लोके गुणवान् कश्च वीर्यवान्। धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रतः॥२॥,"‘[मुने!] इस समय इस संसारमें गुणवान्, वीर्यवान्, धर्मज्ञ, उपकार माननेवाला, सत्यवक्ता और दृढ़प्रतिज्ञ कौन है ?॥२॥"
चारित्रेण च को युक्तः सर्वभूतेषु को हितः। विद्वान् कः कः समर्थश्च कश्चैकप्रियदर्शनः॥,"‘सदाचारसे युक्त, समस्त प्राणियोंका हितसाधक, विद्वान्, सामर्थ्यशाली और एकमात्र प्रियदर्शन (सुन्दर) पुरुष कौन है ? ॥३॥"
आत्मवान् को जितक्रोधो द्युतिमान् कोऽनसूयकः। कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे॥४॥,"‘मनपर अधिकार रखनेवाला, क्रोधको जीतनेवाला, कान्तिमान् और किसीकी भी निन्दा नहीं करनेवाला कौन है? तथा संग्राममें कुपित होनेपर किससे देवता भी डरते हैं?॥ ४॥"
एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे। महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम्॥५॥,"‘महर्षे! मैं यह सुनना चाहता हूँ, इसके लिये मुझे बड़ी उत्सुकता है और आप ऐसे पुरुषको जानने में समर्थ हैं’॥ ५॥"
श्रुत्वा चैतत्रिलोकज्ञो वाल्मीकेर्नारदो वचः। श्रूयतामिति चामन्त्र्य प्रहृष्टो वाक्यमब्रवीत्॥६॥,"महर्षि वाल्मीकिके इस वचनको सुनकर तीनोंलोकोंका ज्ञान रखनेवाले नारदजीने उन्हें सम्बोधित करके कहा, अच्छा सुनिये और फिर प्रसन्नतापूर्वक बोले-॥६॥"
बहवो दुर्लभाश्चैव ये त्वया कीर्तिता गुणाः। मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तः श्रूयतां नरः॥७॥,"‘मुने! आपने जिन बहुत-से दुर्लभ गुणोंका वर्णन किया है, उनसे युक्त पुरुषको मैं विचार करके कहता हूँ, आप सुनें॥७॥"
इक्ष्वाकुवंशप्रभवो रामो नाम जनैः श्रुतः। नियतात्मा महावीर्यो द्युतिमान् धृतिमान् वशी॥८॥,"‘इक्ष्वाकुके वंशमें उत्पन्न हुए एक ऐसे पुरुष हैं, जो लोगोंमें राम-नामसे विख्यात हैं, वे ही मनको वशमें रखनेवाले, महाबलवान्, कान्तिमान्, धैर्यवान् और जितेन्द्रिय हैं॥ ८॥"
बुद्धिमान् नीतिमान् वाग्मी श्रीमान् शत्रुनिबर्हणः। विपुलांसो महाबाहुः कम्बुग्रीवो महाहनुः॥९॥,"‘वे बुद्धिमान्, नीतिज्ञ, वक्ता, शोभायमान तथा शत्रुसंहारक हैं। उनके कंधे मोटे और भुजाएँ बड़ीबड़ी हैं। ग्रीवा शङ्खके समान और ठोढ़ी मांसल (पुष्ट) है॥"
महोरस्को महेष्वासो गूढजत्रुररिन्दमः। आजानुबाहुः सुशिराः सुललाटः सुविक्रमः॥१०॥,"‘उनकी छाती चौड़ी तथा धनुष बड़ा है, गलेके नीचेकी हड्डी (हँसली) मांससे छिपी हुई है। वे शत्रुओंका दमन करनेवाले हैं। भुजाएँ घुटनेतक लम्बी हैं, मस्तक सुन्दर है, ललाट भव्य और चाल मनोहर है॥ १०॥"
समः समविभक्तांगः स्निग्धवर्णः प्रतापवान्। पीनवक्षा विशालाक्षो लक्ष्मीवान् शुभलक्षणः॥११॥,"‘उनका शरीर अधिक ऊँचा या नाटा न होकर मध्यम और सुडौल है, देहका रंग चिकना है। वे बड़े प्रतापी हैं। उनका वक्षःस्थल भरा हुआ है, आँखें बड़ी-बड़ी हैं। वे शोभायमान और शुभलक्षणोंसे सम्पन्न हैं ॥ ११॥"
धर्मज्ञः सत्यसंधश्च प्रजानां च हिते रतः। यशस्वी ज्ञानसम्पन्नः शुचिर्वश्यः समाधिमान्॥१२॥,"‘धर्मके ज्ञाता, सत्यप्रतिज्ञ तथा प्रजाके हित-साधनमें लगे रहनेवाले हैं। वे यशस्वी, ज्ञानी, पवित्र, जितेन्द्रिय और मनको एकाग्र रखनेवाले हैं॥ १२ ॥"
प्रजापतिसमः श्रीमान् धाता रिपुनिषूदनः। रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता॥१३॥,"‘प्रजापतिके समान पालक, श्रीसम्पन्न, वैरिविध्वंसक और जीवों तथा धर्मके रक्षक हैं॥ १३ ॥"
रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता। वेदवेदांगतत्त्वज्ञो धनुर्वेदे च निष्ठितः॥१४॥,"‘स्वधर्म और स्वजनोंके पालक, वेद-वेदांगोंके तत्त्ववेत्ता तथा धनुर्वेदमें प्रवीण हैं॥ १४ ॥"
सर्वशास्त्रार्थतत्त्वज्ञः स्मृतिमान् प्रतिभानवान्। सर्वलोकप्रियः साधुरदीनात्मा विचक्षणः॥१५॥,"‘वे अखिल शास्त्रोंके तत्त्वज्ञ, स्मरणशक्तिसे युक्त और प्रतिभासम्पन्न हैं। अच्छे विचार और उदार हृदयवाले वे श्रीरामचन्द्रजी बातचीत करनेमें चतुर तथा समस्त लोकोंके प्रिय हैं॥ १५ ॥"
सर्वदाभिगतः सद्भिः समुद्र इव सिन्धुभिः। आर्यः सर्वसमश्चैव सदैव प्रियदर्शनः॥१६॥,"‘जैसे नदियाँ समुद्रमें मिलती हैं, उसी प्रकार सदा रामसे साधु पुरुष मिलते रहते हैं। वे आर्य एवं सबमें समान भाव रखनेवाले हैं, उनका दर्शन सदा ही प्रिय मालूम होता है॥ १६॥"
स च सर्वगुणोपेतः कौसल्यानन्दवर्धनः। समुद्र इव गाम्भीर्ये धैर्येण हिमवानिव॥१७॥,"‘सम्पूर्ण गुणोंसे युक्त वे श्रीरामचन्द्रजी अपनी माता कौसल्याके आनन्द बढ़ानेवाले हैं, गम्भीरतामें समुद्र और धैर्यमें हिमालयके समान हैं॥ १७॥"
विष्णुना सदृशो वीर्ये सोमवत्प्रियदर्शनः। कालाग्निसदृशः क्रोधे क्षमया पृथिवीसमः॥१८॥ धनदेन समस्त्यागे सत्ये धर्म इवापरः।,"‘वे विष्णुभगवान् के समान बलवान् हैं। उनका दर्शन चन्द्रमाके समान मनोहर प्रतीत होता है। वे क्रोधमें कालाग्निके समान और क्षमामें पृथिवीके सदृश हैं, त्यागमें कुबेर और सत्यमें द्वितीय धर्मराजके समान हैं॥ १८ १/२ ॥"
तमेवंगुणसम्पन्नं रामं सत्यपराक्रमम्॥१९॥ ज्येष्ठं ज्येष्ठगुणैर्युक्तं प्रियं दशरथः सुतम्। प्रकृतीनां हितैर्युक्तं प्रकृतिप्रियकाम्यया॥२०॥ यौवराज्येन संयोक्तुमैच्छत् प्रीत्या महीपतिः।,"‘इस प्रकार उत्तम गुणोंसे युक्त और सत्यपराक्रमवाले सद्गुणशाली अपने प्रियतम ज्येष्ठ पुत्रको, जो प्रजाके हितमें संलग्न रहनेवाले थे, प्रजावर्गका हित करनेकी इच्छासे राजा दशरथने प्रेमवश युवराजपदपर अभिषिक्त करना चाहा॥ १९-२० १/२॥"
तस्याभिषेकसम्भारान् दृष्ट्वा भार्याथ कैकयी॥२१॥ पूर्वं दत्तवरा देवी वरमेनमयाचत। विवासनं च रामस्य भरतस्याभिषेचनम्॥ २२॥,"‘तदनन्तर रामके राज्याभिषेककी तैयारियाँ देखकर रानी कैकेयीने, जिसे पहले ही वर दिया जा चुका था, राजासे यह वर माँगा कि रामका निर्वासन (वनवास) और भरतका राज्याभिषेक हो। २१-२२॥"
स सत्यवचनाद् राजा धर्मपाशेन संयतः। विवासयामास सुतं रामं दशरथः प्रियम्॥२३॥,‘राजा दशरथने सत्य वचनके कारण धर्म-बन्धनमें बँधकर प्यारे पुत्र रामको वनवास दे दिया॥ २३॥
स जगाम वनं वीरः प्रतिज्ञामनुपालयन्। पितुर्वचननिर्देशात् कैकेय्याः प्रियकारणात्॥२४॥,‘कैकेयीका प्रिय करनेके लिये पिताकी आज्ञाके अनुसार उनकी प्रतिज्ञाका पालन करते हुए वीर रामचन्द्र वनको चले ॥ २४ ॥
तं व्रजन्तं प्रियो भ्राता लक्ष्मणोऽनुजगाम ह। स्नेहाद् विनयसम्पन्नः सुमित्रानन्दवर्धनः॥ २५॥ भ्रातरं दयितो भ्रातुः सौभ्रात्रमनुदर्शयन्।,"‘तब सुमित्राके आनन्द बढ़ानेवाले विनयशील लक्ष्मणजीने भी, जो अपने बड़े भाई रामको बहुत ही प्रिय थे, अपने सुबन्धुत्वका परिचय देते हुए स्नेहवश वनको जानेवाले बन्धुवर रामका अनुसरण किया। २५ १/२॥"
रामस्य दयिता भार्या नित्यं प्राणसमा हिता॥२६॥ जनकस्य कुले जाता देवमायेव निर्मिता। सर्वलक्षणसम्पन्ना नारीणामुत्तमा वधूः ॥२७॥ सीताप्यनुगता रामं शशिनं रोहिणी यथा। पौरैरनुगतो दूरं पित्रा दशरथेन च॥२८॥,"‘और जनकके कुलमें उत्पन्न सीता भी, जो अवतीर्ण हुई देवमायाकी भाँति सुन्दरी, समस्त शुभलक्षणोंसे विभूषित, स्त्रियोंमें उत्तम, रामके प्राणोंके समान प्रियतमा पत्नी तथा सदा ही पतिका हित चाहनेवाली थी, रामचन्द्रजीके पीछे चली; जैसे । चन्द्रमाके पीछे रोहिणी चलती है। उस समय पिता दशरथ [ने अपना सारथि भेजकर] और पुरवासी मनुष्योंने [स्वयं साथ जाकर] दूरतक उनका अनुसरण किया॥ २६–२८॥"
श्रृंगवेरपुरे सूतं गंगाकुले व्यसर्जयत्। गुहमासाद्य धर्मात्मा निषादाधिपतिं प्रियम्॥२९॥,‘फिर शृंगवेरपुरमें गंगा-तटपर अपने प्रिय निषादराज गुहके पास पहुँचकर धर्मात्मा श्रीरामचन्द्रजीने सारथिको [अयोध्याके लिये] विदा कर दिया॥२९॥
गुहेन सहितो रामो लक्ष्मणेन च सीतया। ते वनेन वनं गत्वा नदीस्तीक़ बहूदकाः॥३०॥ चित्रकूटमनुप्राप्य भरद्वाजस्य शासनात्। रम्यमावसथं कृत्वा रममाणा वने त्रयः॥३१॥ देवगन्धर्वसंकाशास्तत्र ते न्यवसन् सुखम्।,"‘निषादराज गुह, लक्ष्मण और सीताके साथ राम। ये चारों एक वनसे दूसरे वनमें गये। मार्गमें बहुत । जलोंवाली अनेकों नदियोंको पार करके [भरद्वाजके आश्रमपर पहुँचे और गुहको वहीं छोड़] भरद्वाज मुनिकी आज्ञासे चित्रकूटपर्वतपर गये। वहाँ वे तीनों देवता और गन्धर्वोके समान वनमें नाना प्रकारकी लीलाएँ करते हुए एक रमणीय पर्णकुटी बनाकर उसमें सानन्द रहने लगे॥ ३०-३१ १/२॥"
चित्रकूटं गते रामे पुत्रशोकातुरस्तदा ॥३२॥ राजा दशरथः स्वर्गं जगाम विलपन् सुतम्।,‘रामके चित्रकूट चले जानेपर पुत्रशोकसे पीडित राजा दशरथ उस समय पुत्रके लिये [उसका नाम लेलेकर] विलाप करते हुए स्वर्गगामी हुए॥ ३२ १/२॥
गते तु तस्मिन् भरतो वसिष्ठप्रमुखैर्द्विजैः॥३३॥ नियुज्यमानो राज्याय नैच्छद् राज्यं महाबलः। स जगाम वनं वीरो रामपादप्रसादकः॥ ३४॥,‘उनके स्वर्गगमनके पश्चात् वसिष्ठ आदि प्रमुख ब्राह्मणोंद्वारा राज्यसंचालनके लिये नियुक्त किये जानेपर भी महाबलशाली वीर भरतने राज्यकी कामना न करके पूज्य रामको प्रसन्न करनेके लिये वनको ही प्रस्थान किया॥३३-३४॥
गत्वा तु स महात्मानं रामं सत्यपराक्रमम्। अयाचद् भ्रातरं राममार्यभावपुरस्कृतः॥३५॥ त्वमेव राजा धर्मज्ञ इति रामं वचोऽब्रवीत्।,‘वहाँ पहुँचकर सद्भावनायुक्त भरतजीने अपने बड़े भाई सत्यपराक्रमी महात्मा रामसे याचना की और यों कहा-धर्मज्ञ! आप ही राजा हों’ ॥ ३५ १/२॥
रामोऽपि परमोदारः सुमुखः सुमहायशाः॥३६॥ न चैच्छत् पितुरादेशाद् राज्यं रामो महाबलः। पादुके चास्य राज्याय न्यासं दत्त्वा पुनः पुनः॥३७॥ निवर्तयामास ततो भरतं भरताग्रजः।,‘परंतु महान् यशस्वी परम उदार प्रसन्नमुख महाबली रामने भी पिताके आदेशका पालन करते हुए राज्यकी अभिलाषा न की और उन भरताग्रजने राज्यके लिये न्यास (चिह्न) रूपमें अपनी खड़ाऊँ भरतको देकर उन्हें बार-बार आग्रह करके लौटा दिया॥ ३६-३७ १/२॥
स काममनवाप्यैव रामपादावुपस्पृशन्॥ ३८॥ नन्दिग्रामेऽकरोद् राज्यं रामागमनकांक्षया।,‘अपनी अपूर्ण इच्छाको लेकर ही भरतने रामके चरणोंका स्पर्श किया और रामके आगमनकी प्रतीक्षा करते हुए वे नन्दिग्राममें राज्य करने लगे॥ ३८ १/२॥
